method,resolution,gesture,accuracy(%),unknown_rate(%),avg_latency_ms,fps
MediaPipe,640x480,ONE,0.0,0.0,20.308448791503906,29.315143326262984
MediaPipe,640x480,TWO,10.0,0.0,20.308448791503906,29.203352140302954
MediaPipe,640x480,THREE,14.000000000000002,0.0,20.308448791503906,29.22172048976903
MediaPipe,640x480,FOUR,8.0,0.0,20.308448791503906,29.21478793579398
MediaPipe,640x480,FIVE,14.000000000000002,0.0,20.308448791503906,29.248573938996667
MediaPipe,1280x720,ONE,0.0,0.0,20.21831226348877,29.296059860769287
MediaPipe,1280x720,TWO,0.0,0.0,20.21831226348877,29.194692770055347
MediaPipe,1280x720,THREE,12.0,0.0,20.21831226348877,29.19096635000174
MediaPipe,1280x720,FOUR,10.0,0.0,20.21831226348877,29.193107807748156
MediaPipe,1280x720,FIVE,6.0,0.0,20.21831226348877,29.19765589193
MediaPipe,1920x1080,ONE,0.0,0.0,20.39062213897705,29.282180592194415
MediaPipe,1920x1080,TWO,0.0,0.0,20.39062213897705,29.16814096273202
MediaPipe,1920x1080,THREE,4.0,0.0,20.39062213897705,29.155744481837647
MediaPipe,1920x1080,FOUR,6.0,0.0,20.39062213897705,29.160929689292445
MediaPipe,1920x1080,FIVE,10.0,0.0,20.39062213897705,26.73767978893936
YOLOv8_pose,640x480,ONE,0.0,0.0,63.23904991149902,12.508202507733708
YOLOv8_pose,640x480,TWO,56.00000000000001,0.0,63.23904991149902,10.890498855671726
YOLOv8_pose,640x480,THREE,0.0,0.0,63.23904991149902,9.997219382254759
YOLOv8_pose,640x480,FOUR,0.0,0.0,63.23904991149902,11.044012756832362
YOLOv8_pose,640x480,FIVE,0.0,0.0,63.23904991149902,10.07706546369545
YOLOv8_pose,1280x720,ONE,84.0,0.0,54.47341442108154,14.248338765472628
YOLOv8_pose,1280x720,TWO,0.0,0.0,54.47341442108154,14.816864255284333
YOLOv8_pose,1280x720,THREE,0.0,0.0,54.47341442108154,12.196398141838657
YOLOv8_pose,1280x720,FOUR,0.0,0.0,54.47341442108154,14.40486298204111
YOLOv8_pose,1280x720,FIVE,0.0,0.0,54.47341442108154,14.524956492354658
YOLOv8_pose,1920x1080,ONE,94.0,0.0,53.66845703125,14.535998734066577
YOLOv8_pose,1920x1080,TWO,57.99999999999999,0.0,53.66845703125,14.833771240923019
YOLOv8_pose,1920x1080,THREE,0.0,0.0,53.66845703125,14.807628461517714
YOLOv8_pose,1920x1080,FOUR,0.0,0.0,53.66845703125,14.798363449266144
YOLOv8_pose,1920x1080,FIVE,0.0,0.0,53.66845703125,14.692230930277981
OpenCV,640x480,ONE,0.0,0.0,3.1375856399536133,29.885416190166346
OpenCV,640x480,TWO,72.0,0.0,3.1375856399536133,29.878897367656194
OpenCV,640x480,THREE,8.0,0.0,3.1375856399536133,29.988818999492786
OpenCV,640x480,FOUR,0.0,0.0,3.1375856399536133,29.883912904326255
OpenCV,640x480,FIVE,0.0,0.0,3.1375856399536133,29.904486545667556
OpenCV,1280x720,ONE,20.0,0.0,6.076358795166016,29.74473154311489
OpenCV,1280x720,TWO,6.0,0.0,6.076358795166016,29.792743059269906
OpenCV,1280x720,THREE,46.0,0.0,6.076358795166016,29.80412844662534
OpenCV,1280x720,FOUR,0.0,0.0,6.076358795166016,29.894562662986257
OpenCV,1280x720,FIVE,0.0,0.0,6.076358795166016,29.88012767877586
OpenCV,1920x1080,ONE,12.0,0.0,7.767477989196777,30.01717883016203
OpenCV,1920x1080,TWO,16.0,0.0,7.767477989196777,30.086140260974403
OpenCV,1920x1080,THREE,0.0,0.0,7.767477989196777,30.032301358673394
OpenCV,1920x1080,FOUR,0.0,0.0,7.767477989196777,29.972305139113153
OpenCV,1920x1080,FIVE,0.0,0.0,7.767477989196777,30.040139426565705
